item_type,date_uploaded,source_file,item_id,title,date,source_url,phys_format,subjects,rights,image_url
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-cai.2a12829.json,2010716169,Some women prefer dogs,1903,https://www.loc.gov/item/2010716169/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",{'children': 'https://www.loc.gov/search/?fa=subject:children&fo=json'},No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cai/2a12000/2a12800/2a12829_150px.jpg
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-cph.3b21894.json,2003677476,Dogs - motoring,1910,https://www.loc.gov/item/2003677476/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Not found,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b21000/3b21800/3b21894_150px.jpg
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-ggbain.10973.json,2014690955,"Mrs. Malcolm Strauss & ""Beaux Attos"" [i.e., Athos]",1910,https://www.loc.gov/item/2014690955/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",{'glass negatives': 'https://www.loc.gov/search/?fa=subject:glass+negatives&fo=json'},"No known restrictions on publication. For more information, see George Grantham Bain Collection - Rights and Restrictions Information https://www.loc.gov/rr/print/res/274_bain.html",https://tile.loc.gov/storage-services/service/pnp/ggbain/10900/10973_150px.jpg#h=111&w=150
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-ggbain.11087.json,2014691174,"Dorothy Lulow & ""Sing Bell""",1910,https://www.loc.gov/item/2014691174/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",{'glass negatives': 'https://www.loc.gov/search/?fa=subject:glass+negatives&fo=json'},"No known restrictions on publication. For more information, see George Grantham Bain Collection - Rights and Restrictions Information https://www.loc.gov/rr/print/res/274_bain.html",https://tile.loc.gov/storage-services/service/pnp/ggbain/11000/11087_150px.jpg#h=108&w=150
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-ggbain.11088.json,2014691175,"Tanis Guinness & ""Ta Wang""",1910,https://www.loc.gov/item/2014691175/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",{'glass negatives': 'https://www.loc.gov/search/?fa=subject:glass+negatives&fo=json'},"No known restrictions on publication. For more information, see George Grantham Bain Collection - Rights and Restrictions Information https://www.loc.gov/rr/print/res/274_bain.html",https://tile.loc.gov/storage-services/service/pnp/ggbain/11000/11088_150px.jpg#h=110&w=150
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-ggbain.11145.json,2014691232,Amb. Myron T. Herrick & wife,1912,https://www.loc.gov/item/2014691232/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",{'glass negatives': 'https://www.loc.gov/search/?fa=subject:glass+negatives&fo=json'},"No known restrictions on publication. For more information, see George Grantham Bain Collection - Rights and Restrictions Information https://www.loc.gov/rr/print/res/274_bain.html",https://tile.loc.gov/storage-services/service/pnp/ggbain/11100/11145_150px.jpg#h=108&w=150
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-ggbain.16691.json,2014696845,Willie Ritchie,1914,https://www.loc.gov/item/2014696845/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",{'glass negatives': 'https://www.loc.gov/search/?fa=subject:glass+negatives&fo=json'},"No known restrictions on publication. For more information, see George Grantham Bain Collection - Rights and Restrictions Information https://www.loc.gov/rr/print/res/274_bain.html",https://tile.loc.gov/storage-services/service/pnp/ggbain/16600/16691_150px.jpg#h=150&w=110
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-ggbain.17751.json,2014698005,Mrs. Key Pittman,1910,https://www.loc.gov/item/2014698005/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",{'glass negatives': 'https://www.loc.gov/search/?fa=subject:glass+negatives&fo=json'},"No known restrictions on publication. For more information, see George Grantham Bain Collection - Rights and Restrictions Information https://www.loc.gov/rr/print/res/274_bain.html",https://tile.loc.gov/storage-services/service/pnp/ggbain/17700/17751_150px.jpg#h=150&w=109
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-ggbain.18296.json,2014698333,German Red Cross dogs,1914,https://www.loc.gov/item/2014698333/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",{'glass negatives': 'https://www.loc.gov/search/?fa=subject:glass+negatives&fo=json'},"No known restrictions on publication. For more information, see George Grantham Bain Collection - Rights and Restrictions Information https://www.loc.gov/rr/print/res/274_bain.html",https://tile.loc.gov/storage-services/service/pnp/ggbain/18200/18296_150px.jpg#h=110&w=150
Item,2022-12-01,data/ftu_dogs_metadata_rlk/item_metadata-ggbain.19461.json,2014699393,Jean and Charlotte Potter,1910,https://www.loc.gov/item/2014699393/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",{'glass negatives': 'https://www.loc.gov/search/?fa=subject:glass+negatives&fo=json'},"No known restrictions on publication. For more information, see George Grantham Bain Collection - Rights and Restrictions Information https://www.loc.gov/rr/print/res/274_bain.html",https://tile.loc.gov/storage-services/service/pnp/ggbain/19400/19461_150px.jpg#h=109&w=150
